LEA_Code,MSC_Count,IFE_Count
92P,0.0,0.0
92R,0.0,0.0
92S,0.0,0.0
92T,0.0,0.0
92U,0.0,0.0
92V,0.0,0.0
92W,0.0,0.0
92Y,0.0,0.0
930,0.0,0.0
93A,0.0,0.0
93J,0.0,0.0
93L,0.0,0.0
93M,0.0,0.0
93N,0.0,0.0
93P,0.0,0.0
93Q,0.0,0.0
93R,0.0,0.0
93T,0.0,0.0
93V,0.0,0.0
93Y,0.0,0.0
940,0.0,0.0
94A,0.0,0.0
950,0.0,0.0
95A,0.0,0.0
960,0.0,0.0
96C,0.0,0.0
96F,0.0,0.0
970,0.0,0.0
980,0.0,0.0
98A,0.0,0.0
98B,0.0,0.0
990,0.0,0.0
995,0.0,0.0
nan,0.0,0.0
,0.0,0.0
